strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
Raji_NC_007605_2018-08-13	Human gammaherpesvirus 4	EBV_gB	Homo sapiens	NC_007605	2018-08-13	?	?	?	BioProject: PRJNA485481	de et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_007605	Updated Epstein-Barr virus (EBV) DNA sequence and analysis of a	J. Gen. Virol. 84 (PT 6), 1443-1450 (2003)	https://pubmed.ncbi.nlm.nih.gov/12771413
CJ0149_NC_004367_2018-08-13	callitrichine gammaherpesvirus 3	EBV_gB	Common marmoset	NC_004367	2018-08-13	?	?	?	BioProject: PRJNA485481	Rivailler et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_004367	Complete genomic sequence of an Epstein-Barr virus-related	J. Virol. 76 (23), 12055-12068 (2002)	https://pubmed.ncbi.nlm.nih.gov/12414947
719_OR652420_2016-08-23	Human gammaherpesvirus 4	EBV_gB	Homo sapiens	OR652420	2016-08-23	Kenya	Africa	Kenya	?	Willard et al	https://www.ncbi.nlm.nih.gov/nuccore/OR652420	Viral and Host Factors Drive a Type 1 Epstein Barr 1 Virus (EBV)	Unpublished	?
720_OR652421_2016-08-26	Human gammaherpesvirus 4	EBV_gB	Homo sapiens	OR652421	2016-08-26	Kenya	Africa	Kenya	?	Willard et al	https://www.ncbi.nlm.nih.gov/nuccore/OR652421	Viral and Host Factors Drive a Type 1 Epstein Barr 1 Virus (EBV)	Unpublished	?
725_OR652422_2016-10-11	Human gammaherpesvirus 4	EBV_gB	Homo sapiens	OR652422	2016-10-11	Kenya	Africa	Kenya	?	Willard et al	https://www.ncbi.nlm.nih.gov/nuccore/OR652422	Viral and Host Factors Drive a Type 1 Epstein Barr 1 Virus (EBV)	Unpublished	?
740_OR652423_2018-03-01	Human gammaherpesvirus 4	EBV_gB	Homo sapiens	OR652423	2018-03-01	Kenya	Africa	Kenya	?	Willard et al	https://www.ncbi.nlm.nih.gov/nuccore/OR652423	Viral and Host Factors Drive a Type 1 Epstein Barr 1 Virus (EBV)	Unpublished	?
Necker-1_MT648642_2022-02-11	Human gammaherpesvirus 4	EBV_gB	?	MT648642	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648642	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-2_MT648643_2022-02-11	Human gammaherpesvirus 4	EBV_gB	?	MT648643	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648643	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-4_MT648645_2022-02-11	Human gammaherpesvirus 4	EBV_gB	?	MT648645	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648645	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-5_MT648646_2022-02-11	Human gammaherpesvirus 4	EBV_gB	?	MT648646	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648646	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
