strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
Raji_NC_007605_2018-08-13	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	NC_007605	2018-08-13	?	?	?	BioProject: PRJNA485481	de et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_007605	Updated Epstein-Barr virus (EBV) DNA sequence and analysis of a	J. Gen. Virol. 84 (PT 6), 1443-1450 (2003)	https://pubmed.ncbi.nlm.nih.gov/12771413
CJ0149_NC_004367_2018-08-13	callitrichine gammaherpesvirus 3	EBV_gL	Common marmoset	NC_004367	2018-08-13	?	?	?	BioProject: PRJNA485481	Rivailler et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_004367	Complete genomic sequence of an Epstein-Barr virus-related	J. Virol. 76 (23), 12055-12068 (2002)	https://pubmed.ncbi.nlm.nih.gov/12414947
AA-43_ON023030_2015-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	ON023030	2015-XX-XX	Finland	Europe	Finland	?	Pyoria et al	https://www.ncbi.nlm.nih.gov/nuccore/ON023030	Unmasking the tissue-resident eukaryotic DNA virome in humans	Nucleic Acids Res (2023) In press	https://pubmed.ncbi.nlm.nih.gov/36951096
Necker-2_MT648643_2022-02-11	Human gammaherpesvirus 4	EBV_gL	?	MT648643	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648643	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-7_MT648648_2022-02-11	Human gammaherpesvirus 4	EBV_gL	?	MT648648	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648648	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-10_MT648651_2022-02-11	Human gammaherpesvirus 4	EBV_gL	?	MT648651	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648651	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-14_MT648655_2022-02-11	Human gammaherpesvirus 4	EBV_gL	?	MT648655	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648655	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
sLCL-T2-27_LC573550_2020-08-19	Human gammaherpesvirus 4	EBV_gL	?	LC573550	2020-08-19	?	?	?	?	Kanda et al	https://www.ncbi.nlm.nih.gov/nuccore/LC573550	Japanese Tonsil-derived Epstein-Barr virus strains	Unpublished	?
PTLB3_MH837527_2019-05-05	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MH837527	2019-05-05	France	Europe	France	?	Bahri et al	https://www.ncbi.nlm.nih.gov/nuccore/MH837527	Epstein-Barr virus is mostly latent and clonal in	Unpublished	?
GCT002_MK540245_2013-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540245	2013-XX-XX	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540245	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
HLT005_MK540259_2012-06-27	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540259	2012-06-27	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540259	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
HS011_MK540269_2011-03-02	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540269	2011-03-02	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540269	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
HS035_MK540287_2014-01-17	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540287	2014-01-17	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540287	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
HS048_MK540294_2013-10-12	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540294	2013-10-12	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540294	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NNPCT005_MK540312_2013-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540312	2013-XX-XX	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540312	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCS026_MK540336_2012-09-10	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540336	2012-09-10	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540336	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCS029_MK540339_2012-11-19	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540339	2012-11-19	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540339	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCS051_MK540356_2013-03-06	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540356	2013-03-06	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540356	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCS052_MK540357_2013-06-14	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540357	2013-06-14	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540357	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT004_MK540362_2013-04-18	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540362	2013-04-18	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540362	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT013_MK540371_2014-09-12	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540371	2014-09-12	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540371	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT018_MK540375_2013-04-18	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540375	2013-04-18	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540375	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT020-2_MK540377_2013-04-19	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540377	2013-04-19	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540377	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT047_MK540400_2013-09-24	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540400	2013-09-24	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540400	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT103_MK540458_2013-03-27	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MK540458	2013-03-27	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540458	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
ebv27_MH883769_2018-09-18	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MH883769	2018-09-18	?	?	?	?	Correia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH883769	Sequence variation of Epstein-Barr virus: viral types, geography,	J. Virol. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30111570
P4-2274_MH883778_2018-09-18	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MH883778	2018-09-18	?	?	?	?	Correia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH883778	Sequence variation of Epstein-Barr virus: viral types, geography,	J. Virol. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30111570
P9-2631_MH883784_2018-09-18	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MH883784	2018-09-18	?	?	?	?	Correia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH883784	Sequence variation of Epstein-Barr virus: viral types, geography,	J. Virol. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30111570
P11-871_MH883785_2018-09-18	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MH883785	2018-09-18	?	?	?	?	Correia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH883785	Sequence variation of Epstein-Barr virus: viral types, geography,	J. Virol. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30111570
IMS_Saliva_204_MG298851_2015-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MG298851	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298851	Epstein Barr virus genome variation	Unpublished	?
IMS_Saliva_6_MG298860_2015-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MG298860	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298860	Epstein Barr virus genome variation	Unpublished	?
JM_NPC_biop_162_MG298879_2015-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MG298879	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298879	Epstein Barr virus genome variation	Unpublished	?
JM_NPC_bru_38_MG298886_2015-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MG298886	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298886	Epstein Barr virus genome variation	Unpublished	?
JM_NPC_bru_L7_MG298898_2015-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MG298898	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298898	Epstein Barr virus genome variation	Unpublished	?
JWBL121B_MG298903_2015-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MG298903	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298903	Epstein Barr virus genome variation	Unpublished	?
GK_LY91_BWA_MG298918_2015-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	MG298918	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298918	Epstein Barr virus genome variation	Unpublished	?
EBVaGC1_KT273942_2013-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	KT273942	2013-XX-XX	China	Asia	China	?	Liu et al	https://www.ncbi.nlm.nih.gov/nuccore/KT273942	Genome-wide analysis of Epstein-Barr virus (EBV) isolated from	Oncotarget 7 (4), 4903-4914 (2016)	https://pubmed.ncbi.nlm.nih.gov/26716899
EBVaGC6_KT273946_2009-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	KT273946	2009-XX-XX	China	Asia	China	?	Liu et al	https://www.ncbi.nlm.nih.gov/nuccore/KT273946	Genome-wide analysis of Epstein-Barr virus (EBV) isolated from	Oncotarget 7 (4), 4903-4914 (2016)	https://pubmed.ncbi.nlm.nih.gov/26716899
EBV_Mak_1_LN824203_2015-09-24	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	LN824203	2015-09-24	Kenya	Africa	Kenya	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN824203	Direct Submission	Submitted (26-FEB-2015) SC, Virus genomics, Wellcome Trust Sanger	?
HL05_LN824204_2015-09-24	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	LN824204	2015-09-24	United Kingdom	Europe	United Kingdom	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN824204	Direct Submission	Submitted (26-FEB-2015) SC, Virus genomics, Wellcome Trust Sanger	?
sLCL-1-12_LN824205_2015-09-24	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	LN824205	2015-09-24	Kenya	Africa	Kenya	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN824205	Direct Submission	Submitted (26-FEB-2015) SC, Virus genomics, Wellcome Trust Sanger	?
HL02_LN827546_2015-09-24	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	LN827546	2015-09-24	United Kingdom	Europe	United Kingdom	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN827546	Direct Submission	Submitted (26-FEB-2015) SC, Virus genomics, Wellcome Trust Sanger	?
HKNPC5_KF992567_2008-XX-XX	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	KF992567	2008-XX-XX	Hong Kong	Asia	Hong Kong	?	Kwok et al	https://www.ncbi.nlm.nih.gov/nuccore/KF992567	Genomic diversity of epstein-barr virus genomes isolated from	J. Virol. 88 (18), 10662-10672 (2014)	https://pubmed.ncbi.nlm.nih.gov/24991008
Akata_KC207813_2012-12-28	Human gammaherpesvirus 4	EBV_gL	Homo sapiens	KC207813	2012-12-28	Japan	Asia	Japan	?	Lin et al	https://www.ncbi.nlm.nih.gov/nuccore/KC207813	Whole-Genome Sequencing of the Akata and Mutu Epstein-Barr Virus	J. Virol. 87 (2), 1172-1182 (2013)	https://pubmed.ncbi.nlm.nih.gov/23152513
B95-8_V01555_2016-07-26	Human gammaherpesvirus 4	EBV_gL	?	V01555	2016-07-26	?	?	?	?	Arrand et al	https://www.ncbi.nlm.nih.gov/nuccore/V01555	Molecular cloning of the complete Epstein-Barr virus genome as a	Nucleic Acids Res. 9 (13), 2999-3014 (1981)	https://pubmed.ncbi.nlm.nih.gov/6269068
