strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
HG52_NC_001798_2016-05-16	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	NC_001798	2016-05-16	United Kingdom	Europe	United Kingdom	BioProject: PRJNA15218	Davison et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_001798	Evolution of sexually-transmitted and -transmissible human	Unpublished	?
17_NC_001806_2018-08-13	Human alphaherpesvirus 1	HSV2_gH	?	NC_001806	2018-08-13	United Kingdom: Regional Virus Laboratory,	Europe	United Kingdom	BioProject: PRJNA485481	Davison et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_001806	Evolution of sexually transmitted and sexually transmissible human	Ann. N. Y. Acad. Sci. 1230, E37-E49 (2011)	https://pubmed.ncbi.nlm.nih.gov/22417106
136_PP099973_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099973	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099973	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
137_PP099974_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099974	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099974	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
139_PP099978_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099978	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099978	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
142_PP099979_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099979	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099979	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
143_PP099981_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099981	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099981	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
135_PP099983_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099983	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099983	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
122_PP099986_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099986	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099986	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
123_PP099987_2024-06-10	Human alphaherpesvirus 2	HSV2_gH	Homo sapiens	PP099987	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099987	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
