strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
HG52_NC_001798_2016-05-16	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	NC_001798	2016-05-16	United Kingdom	Europe	United Kingdom	BioProject: PRJNA15218	Davison et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_001798	Evolution of sexually-transmitted and -transmissible human	Unpublished	?
17_NC_001806_2018-08-13	Human alphaherpesvirus 1	HSV2_gB	?	NC_001806	2018-08-13	United Kingdom: Regional Virus Laboratory,	Europe	United Kingdom	BioProject: PRJNA485481	Davison et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_001806	Evolution of sexually transmitted and sexually transmissible human	Ann. N. Y. Acad. Sci. 1230, E37-E49 (2011)	https://pubmed.ncbi.nlm.nih.gov/22417106
136_PP099973_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP099973	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099973	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
137_PP099974_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP099974	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099974	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
142_PP099979_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP099979	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099979	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
135_PP099983_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP099983	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099983	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
120_PP099984_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP099984	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099984	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
122_PP099986_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP099986	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099986	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
127_PP099991_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP099991	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099991	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
130_PP099994_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP099994	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP099994	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
110_PP100000_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100000	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100000	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
116_PP100001_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100001	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100001	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
113_PP100002_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100002	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100002	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
102_PP100004_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100004	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100004	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
111_PP100006_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100006	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100006	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
108_PP100012_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100012	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100012	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
104_PP100014_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100014	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100014	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
118_PP100015_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100015	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100015	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
78_PP100021_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100021	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100021	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
82_PP100025_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100025	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100025	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
85_PP100028_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100028	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100028	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
86_PP100029_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100029	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100029	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
89_PP100031_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100031	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100031	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
95_PP100037_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100037	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100037	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
99_PP100040_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100040	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100040	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
55_PP100047_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100047	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100047	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
50_PP100048_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100048	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100048	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
69_PP100058_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100058	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100058	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
67_PP100059_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100059	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100059	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
70_PP100060_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100060	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100060	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
64_PP100063_2024-06-10	Human alphaherpesvirus 2	HSV2_gB	Homo sapiens	PP100063	2024-06-10	USA	North America	USA	?	Casto et al	https://www.ncbi.nlm.nih.gov/nuccore/PP100063	Viral genomic variation and the severity of genital HSV-2 infection	J Infect Dis (2024) In press	https://pubmed.ncbi.nlm.nih.gov/38805234
