strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
17_NC_001806_2018-08-13	Human alphaherpesvirus 1	HSV1_gL	?	NC_001806	2018-08-13	United Kingdom: Regional Virus Laboratory,	Europe	United Kingdom	BioProject: PRJNA485481	Davison et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_001806	Evolution of sexually transmitted and sexually transmissible human	Ann. N. Y. Acad. Sci. 1230, E37-E49 (2011)	https://pubmed.ncbi.nlm.nih.gov/22417106
HG52_NC_001798_2016-05-16	Human alphaherpesvirus 2	HSV1_gL	Homo sapiens	NC_001798	2016-05-16	United Kingdom	Europe	United Kingdom	BioProject: PRJNA15218	Davison et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_001798	Evolution of sexually-transmitted and -transmissible human	Unpublished	?
HSV1_USA_WA-UW-1C2_2020_OR833062_2020-05-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833062	2020-05-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833062	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-1C4_2020_OR833063_2020-08-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833063	2020-08-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833063	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-2F3_2019_OR833064_2019-10-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833064	2019-10-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833064	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-2J7_2019_OR833065_2019-12-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833065	2019-12-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833065	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-2J8_2019_OR833066_2019-12-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833066	2019-12-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833066	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-2K2_2019_OR833067_2019-12-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833067	2019-12-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833067	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-2K8_2019_OR833068_2019-12-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833068	2019-12-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833068	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-2M3_2020_OR833069_2020-01-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833069	2020-01-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833069	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-2R6_2020_OR833070_2020-02-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833070	2020-02-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833070	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
HSV1_USA_WA-UW-2R10_2020_OR833071_2020-02-XX	Human alphaherpesvirus 1	HSV1_gL	Homo sapiens	OR833071	2020-02-XX	USA	North America	USA	BioProject: PRJNA1034094	Furlong et al	https://www.ncbi.nlm.nih.gov/nuccore/OR833071	Direct Submission	Submitted (17-NOV-2023) Laboratory Medicine, UW Virology, 1616	?
