strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
Raji_NC_007605_2018-08-13	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	NC_007605	2018-08-13	?	?	?	BioProject: PRJNA485481	de et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_007605	Updated Epstein-Barr virus (EBV) DNA sequence and analysis of a	J. Gen. Virol. 84 (PT 6), 1443-1450 (2003)	https://pubmed.ncbi.nlm.nih.gov/12771413
CJ0149_NC_004367_2018-08-13	callitrichine gammaherpesvirus 3	EBV_gH	Common marmoset	NC_004367	2018-08-13	?	?	?	BioProject: PRJNA485481	Rivailler et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_004367	Complete genomic sequence of an Epstein-Barr virus-related	J. Virol. 76 (23), 12055-12068 (2002)	https://pubmed.ncbi.nlm.nih.gov/12414947
AA-43_ON023030_2015-XX-XX	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	ON023030	2015-XX-XX	Finland	Europe	Finland	?	Pyoria et al	https://www.ncbi.nlm.nih.gov/nuccore/ON023030	Unmasking the tissue-resident eukaryotic DNA virome in humans	Nucleic Acids Res (2023) In press	https://pubmed.ncbi.nlm.nih.gov/36951096
Necker-1_MT648642_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648642	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648642	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-6_MT648647_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648647	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648647	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-7_MT648648_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648648	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648648	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-9_MT648650_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648650	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648650	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-10_MT648651_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648651	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648651	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-12_MT648653_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648653	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648653	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-13_MT648654_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648654	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648654	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-14_MT648655_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648655	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648655	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-16_MT648657_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648657	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648657	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-17_MT648658_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648658	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648658	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
Necker-21_MT648662_2022-02-11	Human gammaherpesvirus 4	EBV_gH	?	MT648662	2022-02-11	?	?	?	?	Farrell et al	https://www.ncbi.nlm.nih.gov/nuccore/MT648662	Epstein-Barr Virus genomes from T cell disease cases in Paris	Unpublished	?
sLCL-T2-27_LC573550_2020-08-19	Human gammaherpesvirus 4	EBV_gH	?	LC573550	2020-08-19	?	?	?	?	Kanda et al	https://www.ncbi.nlm.nih.gov/nuccore/LC573550	Japanese Tonsil-derived Epstein-Barr virus strains	Unpublished	?
sLCL-T3-27_LC573551_2020-08-19	Human gammaherpesvirus 4	EBV_gH	?	LC573551	2020-08-19	?	?	?	?	Kanda et al	https://www.ncbi.nlm.nih.gov/nuccore/LC573551	Japanese Tonsil-derived Epstein-Barr virus strains	Unpublished	?
sLCL-T12-20_LC573553_2020-08-19	Human gammaherpesvirus 4	EBV_gH	?	LC573553	2020-08-19	?	?	?	?	Kanda et al	https://www.ncbi.nlm.nih.gov/nuccore/LC573553	Japanese Tonsil-derived Epstein-Barr virus strains	Unpublished	?
sLCL-T1-12_LC573556_2020-08-19	Human gammaherpesvirus 4	EBV_gH	?	LC573556	2020-08-19	?	?	?	?	Kanda et al	https://www.ncbi.nlm.nih.gov/nuccore/LC573556	Japanese Tonsil-derived Epstein-Barr virus strains	Unpublished	?
AIL2_MH837513_2019-05-05	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH837513	2019-05-05	France	Europe	France	?	Bahri et al	https://www.ncbi.nlm.nih.gov/nuccore/MH837513	Epstein-Barr virus is mostly latent and clonal in	Unpublished	?
AIL7_MH837515_2019-05-05	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH837515	2019-05-05	France	Europe	France	?	Bahri et al	https://www.ncbi.nlm.nih.gov/nuccore/MH837515	Epstein-Barr virus is mostly latent and clonal in	Unpublished	?
AIL16_MH837519_2019-05-05	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH837519	2019-05-05	France	Europe	France	?	Bahri et al	https://www.ncbi.nlm.nih.gov/nuccore/MH837519	Epstein-Barr virus is mostly latent and clonal in	Unpublished	?
ARL2_MH837520_2019-05-05	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH837520	2019-05-05	France	Europe	France	?	Bahri et al	https://www.ncbi.nlm.nih.gov/nuccore/MH837520	Epstein-Barr virus is mostly latent and clonal in	Unpublished	?
PTBL1_MH837525_2019-05-05	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH837525	2019-05-05	France	Europe	France	?	Bahri et al	https://www.ncbi.nlm.nih.gov/nuccore/MH837525	Epstein-Barr virus is mostly latent and clonal in	Unpublished	?
PTLB3_MH837527_2019-05-05	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH837527	2019-05-05	France	Europe	France	?	Bahri et al	https://www.ncbi.nlm.nih.gov/nuccore/MH837527	Epstein-Barr virus is mostly latent and clonal in	Unpublished	?
NKTCL-SG02_MH144213_2019-03-19	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH144213	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144213	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
NKTCL-SG03_MH144214_2019-03-19	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH144214	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144214	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
NKTCL-SG04_MH144215_2019-03-19	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH144215	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144215	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
NKTCL-SG05_MH144216_2019-03-19	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH144216	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144216	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
NKTCL-SG06_MH144217_2019-03-19	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH144217	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144217	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
NKTCL-SG07_MH144218_2019-03-19	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH144218	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144218	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
NKTCL-SG10_MH144221_2019-03-19	Human gammaherpesvirus 4	EBV_gH	Homo sapiens	MH144221	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144221	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
